fid,DamID,DamName,Lat,Lon,FlagType,InstllCap,MaxVol,MaxVolSrc,MinVol,MinVolSrc,MaxH,MinH,MaxHSrc,MinHSrc,NmEnrgy01a,NmEnrgy01b,NmEnrgy01c,NmEnrgy01d,DisDur01a,DisDur01b,DisDur01c,DisDur01d,HisMaxVol,HisMinVol,HisMeanVol,HisMedVol,HisVol_25,HisVol_75,HisMaxH,HisMinH,HisMeanH,HisMedH,HisH_25,HisH_75,HisSrc,HisPeriod,NmEnrgy02a,NmEnrgy02b,NmEnrgy02c,NmEnrgy02d,NmEnrgy02e,NmEnrgy02f,DisDur02a,DisDur02b,DisDur02c,DisDur02d,DisDur02e,DisDur02f
"34",AK84001,BART LAKE DAM,58.22718,-134.02562,Conventional storage dam,-99999,12.64,HydroLAKES,2.46696,NID2019,6.61416,6.61416,NID2019,NID2019,227.81812704,44.46346571856,113.90906352,22.23173285928,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"35",AL00292,ELBA,31.364,-86.0936,Conventional storage dam,2.447,1.171806,NID2019,1.171806,NID2019,8.32104,8.32104,NID2019,NID2019,26.570506530204,26.570506530204,13.285253265102,13.285253265102,10.8584007070715,10.8584007070715,5.42920035353576,5.42920035353576,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"36",AL01413,POINT A,31.361,-86.5184,Run-of-River,5.2,15.28,HydroLAKES,2.837004,NID2019,11.94816,11.94816,NID2019,NID2019,497.49748608,92.369264266944,248.74874304,46.184632133472,95.6725934769231,17.7633200513354,47.8362967384615,8.88166002566769,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"37",AL01414,GANTT,31.4032,-86.4796,Run-of-River,3,18.1,GRanDv1.3,18.0643146,NID2019,9.38784,9.1,NID2019,GRanDv1.3,463.0317384,447.9498412935,231.5158692,223.97492064675,154.3439128,149.3166137645,77.1719564,74.65830688225,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"38",AL01415,WEISS - MAIN DAM,34.1721,-85.7539,Conventional storage dam,87.6,377.938272,NID2019,377.8,GRanDv1.3,18.2,14.9352,GRanDv1.3,NID2019,18743.84859984,15375.863076,9371.92429992,7687.931538,213.970874427397,175.52355109589,106.985437213699,87.7617755479452,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"39",AL01416,H. NEELY HENRY,33.7833,-86.0533,Conventional storage dam,72.9,150.3118728,NID2019,149,GRanDv1.3,22.4,16.1544,GRanDv1.3,NID2019,9175.036715712,6559.09026,4587.518357856,3279.54513,125.857842465185,89.9738032921811,62.9289212325926,44.9869016460905,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"40",AL01417,LOGAN MARTIN,33.4267,-86.3383,Conventional storage dam,128.1,801.8,GRanDv1.3,336.74004,NID2019,30.1,28.956,GRanDv1.3,NID2019,65765.6405,26570.506530204,32882.82025,13285.253265102,513.392978142076,207.42003536459,256.696489071038,103.710017682295,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"41",AL01418,LAY,32.9637,-86.5171,Run-of-River,177,326.9,GRanDv1.3,324.158544,NID2019,30.1,26.2128,GRanDv1.3,NID2019,26813.15525,23154.6058988947,13406.577625,11577.3029494474,151.486752824859,130.816982479631,75.7433764124294,65.4084912398156,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"42",AL01419,WALTER BOULDIN,32.5838,-86.2833,Run-of-River,225,289.9,GRanDv1.3,59.20704,NID2019,37.12464,36.4,NID2019,GRanDv1.3,29327.6302956,5872.7462976,14663.8151478,2936.3731488,130.345023536,26.101094656,65.172511768,13.050547328,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"43",AL01420,LEWIS SMITH,33.9417,-87.1083,Conventional storage dam,181,2060.8,GRanDv1.3,1714.5372,NID2019,64.008,63.7,NID2019,GRanDv1.3,359448.44544,297613.653519,179724.22272,148806.8267595,1985.90301348066,1644.27432883425,992.951506740332,822.137164417127,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
