plant,NERC,EHA_ID,EIA_ID,NID_ID,lat,lon,state,county,HUC,bal_auth,mode,n_units,CH_MW,CH_MWh
Potato Rapids,MRO,hc1573_p01,4071,WI00757,45.1145,-87.7618,WI,Marinette,40301050604,MISO,Run-of-river,3,1.3,4152.41
Peshtigo,MRO,hc1591_p01,4070,WI00756,45.0467,-87.745,WI,Marinette,40301050606,NA,Run-of-river,2,0.584,3226
Crystal Falls,RFC,hc2135_p01,1821,MI00530,46.1066,-88.3345,MI,Iron,40301060408,MISO,Run-of-river,3,1,4932.53
Lower Paint,RFC,hc1205_p01,1779,MI00179,46.02,-88.2617,MI,Iron,40301060409,NA,Intermediate Peaking,1,0.1,261
Brule,RFC,hc1471_p01,1775,MI00156,45.9474,-88.2187,WI,Florence,40301060504,MISO,Run-of-river,3,5.3,15667.41
Way Dam,RFC,hc1119_p01,1785,MI00205,46.1583,-88.2333,MI,Iron,40301070305,MISO,Peaking,1,1.8,4642.12
Hemlock Falls,RFC,hc1207_p01,1777,MI00172,46.1333,-88.225,MI,Iron,40301070306,MISO,Run-of-river/Upstream Peaking,1,2.8,8491.88
Michigamme Falls,RFC,hc1206_p01,1780,MI00184,45.955,-88.1967,MI,Iron,40301070308,MISO,Reregulating,2,9.6,27745.88
Peavy Falls,RFC,hc2154_p01,1781,MI00191,45.98,-88.21,MI,Iron,40301070308,MISO,Peaking,2,12,43123.41
Pine,RFC,hc1513_p01,4045,WI00738,45.8283,-88.2533,WI,Florence,40301080209,MISO,Run-of-river,2,3.2,11637.59
Twin Falls (WI),RFC,hc9129_p01,59836,MI00143,45.872778,-88.070833,WI,Florence,40301080702,MISO,NA,2,9.2,39878
Big Quinnesec Falls,RFC,hc1167_p01,7820,MI00103,45.7867,-88.0417,MI,Dickinson,40301080704,MISO,Run-of-river/Peaking,2,16,93546
Old Quinnesec Falls,RFC,hc1167_p02,7821,MI00103,45.7867,-88.0417,MI,Dickinson,40301080704,MISO,Run-of-river/Peaking,2,4.4,4309.06
Kingsford,RFC,hc1253_p01,1778,MI00177,45.8083,-88.1267,MI,Dickinson,40301080704,MISO,Run-of-river/Peaking,3,7.2,26092
Little Quinnesec Falls,MRO,hc1549_p01,57190,WI00755,45.774,-87.989,WI,Marinette,40301080705,MISO,Peaking,6,9,54960.8
Sturgeon Falls,RFC,hc1678_p01,1848,MI00199,45.7416,-87.8635,MI,Dickinson,40301080707,MISO,Reregulating,4,6.3,26980.53
Chalk Hill,RFC,hc1441_p01,1776,MI00160,45.5137,-87.8018,MI,Menominee,40301080711,MISO,Run-of-river,3,7.8,30180.59
White Rapids,RFC,hc1417_p01,1786,WI05012,45.48,-87.8033,MI,Menominee,40301080712,MISO,Run-of-river,3,9,32177.94
Grand Rapids,MRO,hc1472_p01,1787,MI00022,45.3624,-87.6562,MI,Menominee,40301080908,MISO,Run-of-river,5,7.5,30878.82
Park Mill,MRO,hc1696_p01,50408,MI00531,45.1075,-87.66,WI,Marinette,40301080913,MISO,Run-of-river,6,2.1,13266.06
Menominee Mill Marinette,MRO,hc1697_p01,50409,MI00532,45.4,-87.6,MI,Menominee,40301080913,MISO,Run-of-river,4,1.8,14128.24
Cataract,MRO,hc2116_p01,7118,MI00163,46.316,-87.5127,MI,Marquette,40301100111,MISO,NA,1,2,2476.06
Boney Falls,MRO,hc1526_p03,NA,MI00167,45.9801,-87.2689,MI,Delta,40301100307,NA,Run-of-river,1,4.74,NA
Escanaba No 1,MRO,hc1526_p01,1771,MI00164,45.795,-87.0783,MI,Delta,40301100308,MISO,Run-of-river,1,9.99,20305
Escanaba No 3,MRO,hc1526_p02,NA,MI00166,45.8333,-87.11,MI,Delta,40301100308,NA,Run-of-river,1,2.5,NA
Pardeeville Hydro,MRO,hc4115_p01,7390,WI00113,43.54463873,-89.3005923,WI,Columbia,40302010102,NA,NA,1,0.05,NA
Weed,MRO,hc1499_p01,7812,WI00801,44.8417,-88.7617,WI,Shawano,40302020505,NA,Peaking,2,0.62,NA
Upper Weed,MRO,hc1511_p01,6454,WI00799,44.855,-88.7883,WI,Shawano,40302020505,NA,Run-of-river,2,0.275,NA
Shawano,MRO,hc1067_p01,4058,WI00205,44.835,-88.6233,WI,Shawano,40302020901,NA,Run-of-river,1,0.75,3810
Shawano Paper Mills,MRO,hc7312_p01,NA,WI00205,44.7833,-88.6167,WI,Shawano,40302020901,NA,Run-of-river,2,0.36,1041
Big Falls Milldam,MRO,hc7490_p01,NA,WI00031,44.62,-89.015,WI,Waupaca,40302021504,NA,Run-of-river,1,0.35,1513
Manawa Dam,MRO,hc7397_p01,NA,WI00225,44.4667,-88.9167,WI,Waupaca,40302021704,NA,NA,1,0.192,900
Weyauwega,MRO,hc1563_p01,4047,WI00813,44.325,-88.935,WI,Waupaca,40302021810,NA,Run-of-river,1,0.4,NA
Poysippi,MRO,hc7556_p01,NA,WI00231,44.1367,-88.9967,WI,Waushara,40302022003,NA,NA,1,0.075,NA
Little Chute,MRO,hc0316_p01,4119,WI00779,44.2833,-88.3167,WI,Outagamie,40302040205,MISO,Run-of-river,3,3.3,21934.65
Rapide Croche,MRO,hc0318_p01,4122,WI00853,44.3163998,-88.19802104,WI,Outagamie,40302040205,MISO,Run-of-river,4,2.4,15552.82
New Badger,WECC,hc0319_p02,54679,WI00080,44.2772,-88.2678,WI,Outagamie,40302040205,PSCO,Run-of-river,2,3.5,8434.14
Appleton,RFC,hc0351_p01,4043,WI00851,44.25348373,-88.41277444,WI,Outagamie,40302040205,MISO,NA,3,2.2,13331.29
Kimberly Mill,RFC,hc0385_p01,54885,WI00852,44.2799,-88.3321,WI,Outagamie,40302040205,MISO,NA,3,2.1,15800.74
Kaukauna,MRO,hc1114_p01,7822,WI00778,44.27985,-88.25563,WI,Outagamie,40302040205,MISO,Run-of-river,2,4.8,32926.29
Combined Locks,MRO,hc1676_p01,4201,WI00777,44.3233,-88.315,WI,Outagamie,40302040205,MISO,Run-of-river,2,6.2,40473.53
Middle Appleton,RFC,hc1992_p01,10054,WI00166,44.257303,-88.404806,WI,Outagamie,40302040205,NA,Run-of-river,6,1.19,NA
De Pere,RFC,hc0344_p01,54016,WI00867,44.45,-88.05,WI,Brown,40302040405,NA,Run-of-river,8,1.344,4691
Riley,RFC,hc4038_p01,1863,MI00533,42.04449314,-85.20248204,MI,Branch,40500010403,NA,NA,2,0.417,NA
Sturgis,RFC,hc1761_p01,1856,MI00534,41.9667,-85.5333,MI,St Joseph,40500010903,PJM,Run-of-river,4,2.2,8345.35
Constantine,RFC,hc2097_p01,1760,MI00535,41.85,-85.6667,MI,St Joseph,40500010904,PJM,Run-of-river,4,1.2,5127.12
Three Rivers,RFC,hc7479_p01,NA,MI00395,41.9417,-85.625,MI,St Joseph,40500010904,NA,Run-of-river,3,0.9,3082
Mottville,RFC,hc1041_p01,1761,MI00187,41.8067,-85.7483,MI,St Joseph,40500011304,PJM,Run-of-river,4,1.6,6735.65
Elkhart,RFC,hc1636_p01,986,IN03010,41.6917,-85.9583,IN,Elkhart,40500012004,PJM,Run-of-river,3,3.4,16397.71
Twin Branch,RFC,hc1589_p01,989,IN03011,41.6667,-86.1317,IN,St Joseph,40500012203,PJM,Run-of-river,8,4.8,26046.24
South Bend,RFC,hc7273_p01,NA,IN00807,41.676093,-86.246154,IN,St Joseph,40500012204,NA,NA,1,0.05,275.7352941
French Paper Hydro,RFC,hc2096_p01,10656,MI00537,41.8181,-86.2592,MI,Berrien,40500012210,PJM,Run-of-river,4,1.3,7613.56
Buchanan,RFC,hc1564_p01,1754,MI00157,41.8391,-86.3512,MI,Berrien,40500012603,PJM,Run-of-river,10,4.4,15984
Berrien Springs,RFC,hc4037_p01,1753,MI00538,41.94331027,-86.32786984,MI,Berrien,40500012603,PJM,NA,12,7.2,34375.71
Bellevue Mill Dam,RFC,hc7413_p01,NA,MI00049,42.45,-85.0167,MI,Eaton,40500030307,NA,NA,2,0.06,300
Marshall,RFC,hc1958_p01,1844,MI00027,42.3,-85.0167,MI,Calhoun,40500030406,MISO,Run-of-river,2,0.3,583.26
Morrow,RFC,hc7364_p01,NA,MI00146,42.2825,-85.4915,MI,Kalamazoo,40500030509,NA,NA,4,0.88,4500
Calkins Bridge,RFC,hc1070_p01,1694,MI00151,42.5634,-85.9533,MI,Allegan,40500030907,MISO,Run-of-river,3,2.6,13137.65
Mix,RFC,hc7455_p01,NA,MI00051,42.51,-84.655,MI,Eaton,40500040308,NA,Run-of-river,2,0.202,863.2478632
Smithville,RFC,hc7456_p01,NA,MI00539,42.4997,-84.629,MI,Eaton,40500040308,NA,Run-of-river,3,0.5,2136.752137
Moores Park,RFC,hc2102_p01,1833,MI00094,42.7184,-84.5608,MI,Ingham,40500040704,NA,Run-of-river,2,1,952
Webber,RFC,hc1575_p01,1722,MI00206,42.9567,-84.9033,MI,Iona,40500040710,MISO,Run-of-river,2,4.3,11700.65
Portland,RFC,hc2153_p01,7804,MI00099,42.8891,-84.9308,MI,Ionia,40500040710,NA,Run-of-river,2,0.375,1572
Hubbardston,RFC,hc7555_p01,NA,MI00096,43.0719,-84.8484,MI,Ionia,40500050306,NA,NA,2,0.24,NA
Belding,RFC,hc7375_p01,NA,MI00498,43.1003,-85.2347,MI,Ionia,40500060208,NA,Run-of-river,2,0.28,1670
Fallasburg Dam,RFC,hc7247_p01,NA,MI00506,42.962,-85.331,MI,Kent,40500060209,NA,NA,2,0.9,NA
White Bridge,RFC,hc7363_p01,NA,MI00505,43.0206,-85.2928,MI,Ionia,40500060209,NA,NA,3,0.775,3000
Irving,RFC,hc2146_p01,7800,MI00542,42.69,-85.4183,MI,Barry,40500070404,NA,Run-of-river,1,0.6,2100
Middleville,RFC,hc2127_p01,7801,MI00543,42.7117,-85.465,MI,Barry,40500070406,NA,Run-of-river,1,0.35,NA
La Barge,RFC,hc7461_p01,NA,MI00503,42.811,-85.484,MI,Kent,40500070407,NA,Run-of-river,2,0.8,4650
Ada Dam,RFC,hc1819_p01,50433,MI00501,42.85,-85.5,MI,Kent,40500070408,MISO,Run-of-river,1,1.4,5885.28
Cascade Dam,RFC,hc1942_p01,50436,MI00502,42.9095,-85.499,MI,Kent,40500070408,MISO,NA,1,1.6,7255.8
Hart Lake,RFC,hc1813_p01,1828,MI00281,43.7,-86.3667,MI,Oceana,40601010605,NA,Run-of-river,2,0.32,NA
Rogers,RFC,hc1486_p01,1716,MI00195,43.6133,-85.4783,MI,Mecosta,40601020704,MISO,Run-of-river,4,6.8,24663.47
Hardy,RFC,hc1487_p01,1707,MI00171,43.487,-85.6291,MI,Newaygo,40601020706,MISO,Reregulating,3,31.5,101531
Croton,RFC,hc1502_p01,1701,MI00162,43.4217,-85.8017,MI,Newaygo,40601020901,MISO,Reregulating,4,8.9,36614.94
