EIA_ID,plant,state,bal_auth,original 10k bus,capacity,new bus
7233,Tesla,CO,WACM,60763,26.6,bus_60194
7317,Buffalo Bill,WY,WAUW,77213,18,bus_77001
7372,McPhee,CO,WACM,60735,1.2,bus_60003
7373,Towaoc,CO,WACM,53215,11.4,bus_60003
7427,Cowlitz Falls,WA,BPAT,10694,70,bus_10093
7508,Stone Creek,OR,PGE,13578,12,bus_10093
7511,McNary Fish,WA,BPAT,13475,10,bus_13504
7541,Spirit Mountain,WY,WAUW,77213,4.5,bus_77001
7588,Jackson,WA,BPAT,10728,111.8,bus_10228
7593,El Vado Dam,NM,WACM,53224,8,bus_60000
7789,Abiquiu Dam,NM,WACM,53248,15.6,bus_40367
7907,Pine Flat,CA,CISO,23436,165,bus_23060
8902,Hoover Dam (AZ),AZ,WALC,30451,1039.4,bus_30220
9095,Monroe Street,WA,AVA,10778,14.8,bus_10677
9096,Upper Falls,WA,AVA,10778,10,bus_10677
10014,Lucky Peak,ID,IPCO,74220,101.2,bus_74001
10070,Foothills Hydro Plant,CO,WACM,60841,3.1,bus_60194
10081,Strontia Springs Hydro Plant,CO,PSCO,60841,1,bus_60194
10421,Dillon Hydro Plant,CO,PSCO,60799,1.8,bus_60003
10422,Williams Fork Hydro Plant,CO,WACM,60798,3.5,bus_60003
10458,Muck Valley Hydroelectric,CA,CISO,20526,29.9,bus_20136
10707,Cove Hydroelectric,CA,CISO,20370,5,bus_20026
10735,Barber Dam,ID,IPCO,74220,4.1,bus_74001
10740,Magic Dam Hydroelectric Project,ID,IPCO,74200,9,bus_74104
10882,Hatchet Creek Project,CA,CISO,20370,6.8,bus_20026
50179,Lake Siskiyou,CA,PACW,20536,5,bus_20026
50180,Olsen,CA,CISO,20371,5,bus_20026
50322,Madera Canal (Site 980 65),CA,CISO,23495,2.1,bus_23060
50360,Michell Butte Power Project,OR,IPCO,74329,1.8,bus_13446
50380,Upriver Dam Hydro Plant,WA,AVA,10872,17.6,bus_10677
50755,New Hogan,CA,CISO,23278,3,bus_20136
50827,Twin Falls Hydro,WA,PSEI,10802,24,bus_10228
50895,Bypass,ID,IPCO,74324,9.9,bus_50196
50896,S E Hazelton A,ID,IPCO,74324,8.4,bus_50196
50980,Central Oregon Siphon,OR,PACW,13528,5.4,bus_13504
