EIA_ID,lead,NSE,KGE,r2,RMSE,PBIAS,type
505,0,0.9952970707818647,0.9921395015292092,0.9976919400246747,4.006256529840395,-0.7,Persistence
505,1,0.9881667073810215,0.9883012226198881,0.9941825698603676,6.329532922794757,-1,Persistence
505,2,0.9826263004771056,0.9854102605721905,0.9914800410611632,7.622304230620322,-0.7,Persistence
505,3,0.9763663330726726,0.9834699882235839,0.9883838922817848,8.88033635768534,-0.5,Persistence
505,4,0.9653004939211903,0.9812826708607754,0.982798046803571,10.800783842234978,-0.3,Persistence
505,5,0.9567550647851868,0.9781393929677321,0.9784615968374742,12.097577333714415,0.1,Persistence
505,6,0.950613815511332,0.9753084612265096,0.9753091752551984,12.972921208938887,-0,Persistence
512,0,0.9987117916967878,0.9971292758655214,0.9993617315059059,1.1127734565493042,-0.3,Persistence
512,1,0.9953867798996472,0.9956276473147577,0.9976930632945521,2.112278221322505,-0.2,Persistence
512,2,0.9898764126412546,0.9908672507462122,0.9949288807034551,3.1421977113577197,0.1,Persistence
512,3,0.984075308710677,0.9873752386403715,0.992012702680716,3.9481314818997313,0.3,Persistence
512,4,0.9785075032552919,0.9868098386809824,0.9892283382145433,4.5696343525256164,0.5,Persistence
512,5,0.972173231402354,0.9845395260458021,0.9860763513327199,5.185840191840823,0.6,Persistence
512,6,0.9653117486236557,0.9826473920716915,0.9826516731843437,5.773919617938038,0,Persistence
514,0,0.7761669138973294,0.875792446148,0.8958393564653471,11.960967346573979,6.6,Persistence
514,1,0.6001739079400229,0.7769353686110347,0.8209661392594895,16.261611367299942,13.3,Persistence
514,2,0.519333688534535,0.7279524753121702,0.786371023291954,18.142368062488714,16.7,Persistence
514,3,0.47443488347810636,0.7064221503931507,0.7654897157957385,19.009739545189515,17.5,Persistence
514,4,0.43077260597171363,0.6885841356225023,0.7460332712299919,19.687595185324657,17.9,Persistence
514,5,0.8083059222834353,0.9019088297364312,0.9049049743268928,11.244397494281781,-2.4,Persistence
514,6,0.859890975378654,0.929945465306321,0.929945465307681,9.593635030200579,0,Persistence
516,0,0.9827297728729544,0.9807800905080882,0.9919140248272894,1.0992183656891734,-1.7,Persistence
516,1,0.9591272937470015,0.9673747067891741,0.9807658893283931,1.6956032416067062,-2.6,Persistence
516,2,0.9461050592536655,0.9624040963281697,0.9742819070073805,1.9499013058489343,-2.7,Persistence
516,3,0.9341021583068602,0.958435401002922,0.9681674032703769,2.156559375290555,-2.6,Persistence
516,4,0.9207772675931359,0.9526561823353996,0.9613210754599748,2.3726588901423695,-2.6,Persistence
516,5,0.9617391848202372,0.9799345982829726,0.9810082935281177,1.6262013352339435,-0.4,Persistence
516,6,0.961454715196377,0.9807232394146386,0.9807243000357561,1.640830871248649,0,Persistence
534,0,0.946345123925198,0.9548498105359244,0.9728481678241974,4.245730774305723,0.4,Persistence
534,1,0.8663188526831569,0.9189461503174587,0.9311346699979935,6.749465662456042,0.3,Persistence
534,2,0.7648183629194656,0.867044403947406,0.8774232827591585,9.035765360142557,-0.1,Persistence
534,3,0.7580959792716663,0.8764468738120222,0.8776693092781529,8.800848166534681,1.2,Persistence
534,4,0.7360482742852618,0.8657562646720236,0.8753825699521595,8.654690541544412,0.9,Persistence
534,5,0.6414908829944944,0.8233069528252129,0.826079884605764,10.293965769511315,-1.4,Persistence
534,6,0.6705832081429297,0.8352941789357953,0.8352941817410132,10.143076005558894,-0,Persistence
537,0,0.9297530564937336,0.9087116630480534,0.9655360899805993,12.398038101284644,0.1,Persistence
537,1,0.7537317573353048,0.8722060400500895,0.8840102056111832,20.24539757886431,2,Persistence
537,2,0.5132665089544208,0.750906896269999,0.7529906051145073,30.369847810611514,2.8,Persistence
537,3,0.4446688898434117,0.73036352412267,0.751857442928739,29.08066372180954,4.1,Persistence
537,4,0.24962203714374243,0.5918621475996519,0.7573799420378601,28.017177576133694,5.2,Persistence
537,5,0.08706291294244362,0.5523935702429195,0.6967535501439512,30.851412651192458,4.4,Persistence
537,6,0.167497294322265,0.5837578165590382,0.5837578301932065,39.07208316887717,-0,Persistence
584,0,0.9982473755358374,0.9990296995398997,0.9991239113220138,1.5749958971250515,-0,Persistence
584,1,0.9947169873668713,0.9955575497332885,0.9973622664845927,2.7401077308050796,0.3,Persistence
584,2,0.989512444729305,0.9927398542432104,0.9947647436687224,3.860632497223226,0.5,Persistence
584,3,0.98230421286225,0.9894776946261757,0.9911621355663791,5.013392069043676,0.5,Persistence
584,4,0.9731230262313196,0.9852887632875043,0.9865360237894597,6.190929945586527,0.5,Persistence
